timezone	current_offset	valid_from	new_offset	valid_until
Africa/Casablanca	00:00:00	2013-04-28T02:00:0000:00:00	01:00:00	2013-10-27T03:00:00+01:00:00
Africa/Casablanca	01:00:00	2013-10-27T03:00:00+01:00:00	00:00:00	2014-03-30T02:00:0000:00:00
Africa/Casablanca	00:00:00	2014-03-30T02:00:0000:00:00	01:00:00	2014-10-26T03:00:00+01:00:00
Africa/Casablanca	01:00:00	2014-10-26T03:00:00+01:00:00	00:00:00	2015-03-29T02:00:0000:00:00
Africa/Casablanca	00:00:00	2015-03-29T02:00:0000:00:00	01:00:00	2015-10-25T03:00:00+01:00:00
Africa/Casablanca	01:00:00	2015-10-25T03:00:00+01:00:00	00:00:00	2016-03-27T02:00:0000:00:00
Africa/Casablanca	00:00:00	2016-03-27T02:00:0000:00:00	01:00:00	2016-10-30T03:00:00+01:00:00
Africa/Casablanca	01:00:00	2016-10-30T03:00:00+01:00:00	00:00:00	2017-03-26T02:00:0000:00:00
Africa/Casablanca	00:00:00	2017-03-26T02:00:0000:00:00	01:00:00	2017-10-29T03:00:00+01:00:00
Africa/Casablanca	01:00:00	2017-10-29T03:00:00+01:00:00	00:00:00	2018-03-25T02:00:0000:00:00
Africa/Casablanca	00:00:00	2018-03-25T02:00:0000:00:00	01:00:00	2018-10-28T03:00:00+01:00:00
Africa/Casablanca	01:00:00	2018-10-28T03:00:00+01:00:00	00:00:00	2019-06-09T02:00:0000:00:00
Africa/Casablanca	00:00:00	2019-06-09T02:00:0000:00:00	01:00:00	2020-05-31T02:00:0000:00:00
Africa/Casablanca	00:00:00	2020-05-31T02:00:0000:00:00	01:00:00	2021-05-16T02:00:0000:00:00
Africa/Casablanca	00:00:00	2021-05-16T02:00:0000:00:00	01:00:00	2022-05-08T02:00:0000:00:00
Africa/Casablanca	00:00:00	2022-05-08T02:00:0000:00:00	01:00:00	2023-04-23T02:00:0000:00:00
Africa/Casablanca	00:00:00	2023-04-23T02:00:0000:00:00	01:00:00	2024-04-14T02:00:0000:00:00
Africa/Casablanca	00:00:00	2024-04-14T02:00:0000:00:00	01:00:00	2025-04-06T02:00:0000:00:00
Africa/Casablanca	00:00:00	2025-04-06T02:00:0000:00:00	01:00:00	2026-03-22T02:00:0000:00:00
Africa/Casablanca	00:00:00	2026-03-22T02:00:0000:00:00	01:00:00	2027-03-14T02:00:0000:00:00
Africa/El_Aaiun	00:00:00	2013-04-28T02:00:0000:00:00	01:00:00	2013-10-27T03:00:00+01:00:00
Africa/El_Aaiun	01:00:00	2013-10-27T03:00:00+01:00:00	00:00:00	2014-03-30T02:00:0000:00:00
Africa/El_Aaiun	00:00:00	2014-03-30T02:00:0000:00:00	01:00:00	2014-10-26T03:00:00+01:00:00
Africa/El_Aaiun	01:00:00	2014-10-26T03:00:00+01:00:00	00:00:00	2015-03-29T02:00:0000:00:00
Africa/El_Aaiun	00:00:00	2015-03-29T02:00:0000:00:00	01:00:00	2015-10-25T03:00:00+01:00:00
Africa/El_Aaiun	01:00:00	2015-10-25T03:00:00+01:00:00	00:00:00	2016-03-27T02:00:0000:00:00
Africa/El_Aaiun	00:00:00	2016-03-27T02:00:0000:00:00	01:00:00	2016-10-30T03:00:00+01:00:00
Africa/El_Aaiun	01:00:00	2016-10-30T03:00:00+01:00:00	00:00:00	2017-03-26T02:00:0000:00:00
Africa/El_Aaiun	00:00:00	2017-03-26T02:00:0000:00:00	01:00:00	2017-10-29T03:00:00+01:00:00
Africa/El_Aaiun	01:00:00	2017-10-29T03:00:00+01:00:00	00:00:00	2018-03-25T02:00:0000:00:00
Africa/El_Aaiun	00:00:00	2018-03-25T02:00:0000:00:00	01:00:00	2018-10-28T03:00:00+01:00:00
Africa/El_Aaiun	01:00:00	2018-10-28T03:00:00+01:00:00	00:00:00	2019-06-09T02:00:0000:00:00
Africa/El_Aaiun	00:00:00	2019-06-09T02:00:0000:00:00	01:00:00	2020-05-31T02:00:0000:00:00
Africa/El_Aaiun	00:00:00	2020-05-31T02:00:0000:00:00	01:00:00	2021-05-16T02:00:0000:00:00
Africa/El_Aaiun	00:00:00	2021-05-16T02:00:0000:00:00	01:00:00	2022-05-08T02:00:0000:00:00
